fuel_type_code,station_name,street_address,city,state_abbr,zip,status_code,groups_with_access_code,access_days_time,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,latitude,longitude,ev_pricing,county,geoid
ELEC,HOLLYWOOD PARK MU1 STATION 7,1213 S. District Dr.,Inglewood,CA,90301,E,Public,24 hours daily,,2,,33.947224,-118.34255,,Los Angeles,06037
ELEC,"LODI, CA EV DOWNTOWN GARAGE",25 E Sacramento St,Lodi,CA,95240,E,Public,24 hours daily,,2,,38.13441,-121.271805,,San Joaquin,06077
ELEC,CITYOFBERKELEY CENT 2 GREEN 5,2025 Center St,Berkeley,CA,94704,E,Public,Mon 9:00pm - 12:00am; Tue 9:00pm - 12:00am; Wed 9:00pm - 12:00am; Thu 9:00pm - 12:00am; Fri 9:00pm - 12:00am; Sat 9:00pm - 12:00am; Sun 9:00pm - 12:00am,,2,,37.870377,-122.2699,,Alameda,06001
ELEC,CITYOFBERKELEY 203841030430,Martin Luther King Jr. Way at Derby St.,Berkeley,CA,94703,E,Public,24 hours daily,,2,,37.859806,-122.27198,,Alameda,06001
ELEC,"Johnson Hotel-Doubletree (Pleasanton, CA)",7050 Johnson Dr,Pleasanton,CA,94588,E,Public,24 hours daily,,,4,37.701101,-121.918193,,Alameda,06001
ELEC,Friendly Hills Marketplace,15311 Whittier Blvd,Whittier,CA,90603,E,Public - Credit card at all times,9am-3am daily,,1,1,33.94778504,-118.0007422,FREE for 30 Minutes,Los Angeles,06037
ELEC,MINETA SJC B8,1120 Coleman Ave,San Jose,CA,95110,E,Public,24 hours daily,,1,,37.351779,-121.921901,,Santa Clara,06085
ELEC,MINETA SJC B7,1120 Coleman Ave,San Jose,CA,95110,E,Public,24 hours daily,,1,,37.351846,-121.921942,,Santa Clara,06085
ELEC,LANDMARK II EV 3,11750 Wilshire blvd,Los Angeles,CA,90025,E,Public,24 hours daily,,2,,34.048175,-118.46149,,Los Angeles,06037
ELEC,Pacific Vista,25500 - 25550 Commercentre Drive,Lake Forest,CA,92630,E,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,4,,33.6643337,-117.6857882,FREE,Orange,51137
ELEC,Pacific Vista,25500 - 25550 Commercentre Drive,Lake Forest,CA,92630,E,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,4,,33.6643337,-117.6857882,FREE,Orange,50017
ELEC,Pacific Vista,25500 - 25550 Commercentre Drive,Lake Forest,CA,92630,E,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,4,,33.6643337,-117.6857882,FREE,Orange,48361
ELEC,Pacific Vista,25500 - 25550 Commercentre Drive,Lake Forest,CA,92630,E,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,4,,33.6643337,-117.6857882,FREE,Orange,37135
ELEC,Pacific Vista,25500 - 25550 Commercentre Drive,Lake Forest,CA,92630,E,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,4,,33.6643337,-117.6857882,FREE,Orange,36071
ELEC,Pacific Vista,25500 - 25550 Commercentre Drive,Lake Forest,CA,92630,E,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,4,,33.6643337,-117.6857882,FREE,Orange,18117
